# R@VT IREC 2026 (Up to date)
# 3169 data points written for 15 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.1 m/s):  "SkyAngle Classic II 36 [Cd 1.34 (8.4 oz) 56.6 in^3] With Shock Cord"
#   Recovery device deployment at high speed (23.7 m/s):  "SkyAngle Classic Cert-3 XL (MUTD)"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Latitude (° N),Longitude (° E),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Gravitational acceleration (m/s²),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
7.795851562499694,1648.9313866824436,1850.0993866824438,200.62056982546864,202.9232782441294,-16.726508891130933,16.76095856933964,37.194791526263195,-80.3919055486675,0,-0.368855031053288,-0.160181268394645,9.79353702596728,0.01,0.343728875
7.805851562499694,1650.93675629097,1852.1047562909698,200.45337544166998,202.75636921473134,-16.712365338275504,16.74675537599702,37.194791527954806,-80.39190211583107,0,-0.348477616535098,-0.198232926809178,9.793530862430641,0.01,0.343951042
7.815851562499693,1652.9404546624573,1854.1084546624575,200.2863223784046,202.58960297098355,-16.698246383203085,16.732580309080593,37.19479152964913,-80.39189868420286,0,-0.31602664953897,-0.245719332450866,9.793524704036388,0.01,0.34418175
7.825851562499693,1654.9424832087554,1856.1104832087553,200.11941035813433,202.42297918738475,-16.684156192359456,16.718435716131825,37.194791531346254,-80.39189525378133,0,-0.269063336710552,-0.295620466293529,9.79351855078017,0.01,0.344429625
7.835851562499693,1656.9428433389573,1858.1108433389572,199.9526391106246,202.25649753947977,-16.67009107481209,16.704319413958228,37.1947915330463,-80.39189182456505,0,-0.195622369536496,-0.347165580321511,9.793512402657642,0.01,0.344665542
7.845851562499693,1658.9415364595436,1860.1095364595435,199.78600838915054,202.09015770385267,-16.65605163212406,16.690231695205423,37.194791534749314,-80.39188839655259,0,-0.090434307458589,-0.387585251250874,9.793506259664468,0.01,0.344932167
7.855851562499693,1660.938563974353,1862.1065639743529,199.61951791724073,201.9239593581088,-16.642041739781522,16.676174757084933,37.19479153645532,-80.39188496974259,0,0.035617454559294,-0.396166521012376,9.79350012179632,0.01,0.345201083
7.865851562499692,1662.933927284491,1864.101927284491,199.45316740643074,201.7579021808812,-16.628058950519424,16.662147132436626,37.194791538164374,-80.39188154413374,0,0.158627675982817,-0.364085418743512,9.793493989048873,0.01,0.345448875
7.875851562499692,1664.92762778818,1866.09562778818,199.28695658165196,201.5919858518424,-16.614106316174304,16.64815053562056,37.19479153987643,-80.39187811972472,0,0.250440688484989,-0.308544795750833,9.793487861417818,0.01,0.345706417
7.885851562499692,1666.9196668807172,1868.0876668807173,199.12088512378213,201.4262100516956,-16.600185018912075,16.6341856095249,37.19479154159148,-80.39187469651428,0,0.309186173157189,-0.249903365440473,9.793481738898855,0.01,0.345967708
7.895851562499692,1668.9100459542417,1870.0780459542416,198.95495272200577,201.26057446218246,-16.586294178796052,16.62025180293158,37.19479154330946,-80.39187127450113,0,0.344569800169589,-0.199074656675682,9.793475621487685,0.01,0.346221292
7.905851562499692,1670.8987663977855,1872.0667663977856,198.78915906720852,201.0950787660776,-16.572435628949606,16.60635013116211,37.19479154503029,-80.39186785368399,0,0.367499545841114,-0.154856694773797,9.793469509180024,0.01,0.34648175
7.915851562499691,1672.8858295971042,1874.0538295971041,198.62350382267928,200.9297226472027,-16.5586147584466,16.59248367519793,37.19479154675387,-80.39186443406165,0,0.382650423753448,-0.119208256626677,9.793463401971604,0.01,0.346732667
7.925851562499691,1674.8712369343637,1876.0392369343635,198.4579865923273,200.76450579044757,-16.544830478143595,16.57865177520029,37.194791548480104,-80.39186101563274,0,0.390793846365188,-0.091928306456133,9.793457299858156,0.01,0.347010417
7.935851562499691,1676.8549897879886,1878.0229897879885,198.2926070322616,200.59942788174382,-16.531081067060722,16.56485339301552,37.19479155020882,-80.39185759839602,0,0.39709081939361,-0.070227875664848,9.793451202835438,0.01,0.34725675
7.945851562499691,1678.8370895328192,1880.005089532819,198.12736477335295,200.4344886080776,-16.517372235519503,16.551091802628104,37.19479155193993,-80.39185418235003,0,0.402875096607719,-0.05064572932916,9.793445110899206,0.01,0.34750425
7.95585156249969,1680.8175375398002,1881.9855375398001,197.96225938939276,200.2696876575229,-16.503704147678338,16.537367069344064,37.19479155367328,-80.39185076749341,0,0.406559310973172,-0.034598797235489,9.793439024045224,0.01,0.347754667
7.96585156249969,1682.796335175687,1883.9643351756872,197.7972904991938,200.1050247192011,-16.490075328732193,16.523678304924463,37.194791555408756,-80.39184735382464,0,0.409914965421842,-0.020496771967821,9.793432942269293,0.01,0.348003042
7.97585156249969,1684.7734838034562,1885.9414838034563,197.63245768893063,199.94049948329564,-16.476486239978282,16.51002574469916,37.19479155714621,-80.39184394134217,0,0.412299822071407,-0.007282400929149,9.793426865567195,0.01,0.348248667
7.98585156249969,1686.748984781937,1887.9169847819371,197.4677605850655,199.77611164102686,-16.462935189801087,16.49640836889675,37.194791558885484,-80.39184053004443,0,0.414697667160141,0.00743759205848,9.793420793934743,0.01,0.348497292
7.99585156249969,1688.7228394662527,1889.8908394662526,197.3031987894611,199.611860884658,-16.449423467662942,16.482826900198813,37.19479156062644,-80.3918371199297,0,0.416390918988939,0.022068033995149,9.793414727367768,0.01,0.348743875
8.00585156249969,1690.6950492075835,1891.8630492075836,197.13877191858373,199.4477469074811,-16.435951196293885,16.469281382504516,37.19479156236895,-80.39183371099631,0,0.417847686554538,0.03564727125174,9.793408665862088,0.01,0.348991375
8.015851562499689,1692.665615353142,1893.8336153531418,196.97447956766115,199.28376940383288,-16.422518993514835,16.45577215042616,37.19479156411282,-80.39183030324246,0,0.419257550274093,0.047949544115287,9.793402609413558,0.01,0.3492455
8.025851562499689,1694.6345392461244,1895.8025392461245,196.81032133612996,199.1199280690793,-16.409128332873507,16.44230003761227,37.194791565857905,-80.39182689666629,0,0.420756751735871,0.060227625758406,9.79339655801803,0.01,0.349490667
